timestamp,stage,uid,status,seed_id,volunteer,fragile,healthy,heavy_heavy,version_id,notes
2026-06-26T12:15:06,harvest,harvest-r0013,DONE,bcaabb99,2,8,15,,,
2026-06-26T12:15:37,harvest,harvest-r0014,DONE,0d72b162,1,14,10,,,
2026-06-26T12:16:23,harvest,harvest-r0015,DONE,d9a26d64,1,10,14,,,
2026-06-26T12:16:53,harvest,harvest-r0016,DONE,22ea6bb1,1,12,12,,,
2026-06-26T12:17:24,harvest,harvest-r0017,DONE,55792571,4,9,12,,,
2026-06-26T12:17:40,harvest,harvest-r0018,DONE,ae094152,4,7,14,,,
2026-06-26T12:18:11,harvest,harvest-r0019,DONE,d6e21be9,3,9,13,,,
2026-06-26T12:18:26,harvest,harvest-r0020,DONE,3b373e53,1,11,13,,,
2026-06-26T12:29:01,phase3,p3-v7,DONE,37f3ff8b,4,0,21,0,21,"DELTA: fragile -4, volunteer -1, shortfall -6  ? IMPROVED"
2026-06-26T12:39:37,phase3,p3-v11,DONE,2ab855bb,3,0,22,0,22,"DELTA: fragile -4, volunteer -2, shortfall -8  ? IMPROVED"
2026-06-26T12:50:12,phase3,p3-v3,DONE,7da2c37a,5,0,20,0,23,"DELTA: fragile -5, volunteer +0, shortfall -5  ? IMPROVED"
2026-06-26T13:00:47,phase3,p3-v12,DONE,5281d705,4,0,21,0,24,"DELTA: fragile -6, volunteer +1, shortfall -4  ? IMPROVED"
2026-06-26T13:11:22,phase3,p3-v6,DONE,3d28c865,4,0,21,0,25,"DELTA: fragile -7, volunteer +0, shortfall -7  ? IMPROVED"
2026-06-26T13:21:57,phase3,p3-v18,DONE,ae094152,5,0,20,0,26,"DELTA: fragile -7, volunteer +1, shortfall -5  ? IMPROVED"
2026-06-26T13:32:32,phase3,p3-v13,DONE,bcaabb99,3,0,22,0,27,"DELTA: fragile -8, volunteer +1, shortfall -6  ? IMPROVED"
2026-06-26T13:43:08,phase3,p3-v2,DONE,ca279572,5,0,20,0,28,"DELTA: fragile -8, volunteer +1, shortfall -6  ? IMPROVED"
2026-06-26T13:53:43,phase3,p3-v5,DONE,7cfb164f,5,1,19,0,29,"DELTA: fragile -7, volunteer +1, shortfall -5  ? IMPROVED"
2026-06-26T14:04:18,phase3,p3-v1,DONE,94cedd4e,6,0,19,0,30,"DELTA: fragile -9, volunteer +3, shortfall -3  ? IMPROVED"
2026-06-26T14:14:53,phase3,p3-v19,DONE,d6e21be9,5,0,20,0,31,"DELTA: fragile -9, volunteer +2, shortfall -5  ? IMPROVED"
2026-06-26T14:25:28,phase3,p3-v17,DONE,55792571,6,0,19,0,32,"DELTA: fragile -9, volunteer +2, shortfall -5  ? IMPROVED"
2026-06-26T14:36:03,phase3,p3-v8,DONE,b2258e49,6,0,19,0,33,"DELTA: fragile -10, volunteer +5, shortfall +0  ? no change"
2026-06-26T14:46:39,phase3,p3-v15,DONE,d9a26d64,5,0,20,0,34,"DELTA: fragile -10, volunteer +4, shortfall -2  ? IMPROVED"
2026-06-26T14:57:14,phase3,p3-v4,DONE,85bf68b2,5,0,20,0,35,"DELTA: fragile -10, volunteer +3, shortfall -4  ? IMPROVED"
2026-06-26T15:07:49,phase3,p3-v10,DONE,70a2e970,4,0,21,0,36,"DELTA: fragile -10, volunteer +2, shortfall -6  ? IMPROVED"
2026-06-26T15:18:24,phase3,p3-v20,DONE,3b373e53,5,0,20,0,37,"DELTA: fragile -11, volunteer +4, shortfall -3  ? IMPROVED"
2026-06-26T15:28:59,phase3,p3-v16,DONE,22ea6bb1,3,0,22,0,38,"DELTA: fragile -12, volunteer +2, shortfall -8  ? IMPROVED"
2026-06-26T15:39:34,phase3,p3-v9,DONE,ff1431dd,5,0,20,0,39,"DELTA: fragile -12, volunteer +3, shortfall -6  ? IMPROVED"
2026-06-26T15:50:09,phase3,p3-v14,DONE,0d72b162,4,0,21,0,40,"DELTA: fragile -14, volunteer +3, shortfall -8  ? IMPROVED"
